Sample_ID,Cutoff,Total_tumors,TS_fraction_gRNA1,TS_fraction_gRNA2,TS_fraction_total,TS_fraction_neither_shared
LA92_15,5,828,0.016908212560386472,0.0024154589371980675,0.050724637681159424,0.03140096618357488
LA92_01,5,11137,0.5242884080093383,0.021729370566579868,0.6250336715452994,0.09158660321451019
LA92_19,5,10008,0.7143285371702638,0.015387689848121503,0.7520983213429256,0.03237410071942446
LA92_02,5,30841,0.6622677604487532,0.05972568982847508,0.8027301319671866,0.12032683765117863
LA92_27,5,16195,0.7804878048780488,0.025439950602037666,0.8121642482247607,0.026551404754553875
LA92_29,5,16702,0.7873308585798108,0.032630822655969345,0.8236139384504849,0.03077475751407017
LA92_22,5,13579,0.8102953089329111,0.02533323514249945,0.8343029678179542,0.02054643199057368
LA92_14,5,11483,0.8263519986066359,0.02403553078463816,0.8476878864408256,0.01793956283201254
LA92_20,5,15808,0.8383097165991903,0.03340080971659919,0.8591852226720648,0.017522773279352227
LA92_25,5,17677,0.8371329976806019,0.025569949652090286,0.8603269785597104,0.019177462239067716
LA92_21,5,15293,0.8410383835741843,0.030798404498790295,0.8643823971751782,0.01961681815209573
LA92_04,5,21600,0.8334259259259259,0.039768518518518516,0.8683796296296297,0.027731481481481482
LA92_23,5,25725,0.8412439261418854,0.04633624878522838,0.8808551992225462,0.03191448007774538
LA92_06,5,15325,0.8625122349102773,0.02270799347471452,0.8811092985318107,0.015073409461663948
LA92_12,5,26546,0.8729375423792661,0.04607097114442854,0.8973856701574625,0.019287274919008515
LA92_07,5,24166,0.8757345030207729,0.04539435570636431,0.8992385996855086,0.018745344699164116
LA92_17,5,26673,0.881865556930229,0.04581411914670266,0.9049975630787688,0.017845761631612493
LA92_24,5,31571,0.885147762186817,0.06341262551075354,0.9103290994900384,0.019163156060942002
LA92_08,5,38470,0.924070704445022,0.07527943852352482,0.9399532102937354,0.011593449441122953
LA92_10,5,33358,0.9254151927573595,0.052880868157563404,0.9404041009652857,0.011061814257449487
LA92_26,5,46649,0.9365045338592467,0.0784797101759952,0.9502240133764925,0.009174901927158138
LA92_16,5,57431,0.9379255106127353,0.10609252842541485,0.9574619978757117,0.013981995786247845
LA92_05,5,84837,0.9587915650011198,0.13657955844737554,0.9727595270931315,0.007944646793262374
LA92_15,10,828,0.016908212560386472,0.0024154589371980675,0.050724637681159424,0.03140096618357488
LA92_01,10,11137,0.5242884080093383,0.021729370566579868,0.6250336715452994,0.09158660321451019
LA92_19,10,10008,0.7143285371702638,0.015387689848121503,0.7520983213429256,0.03237410071942446
LA92_02,10,30841,0.6622677604487532,0.05972568982847508,0.8027301319671866,0.12032683765117863
LA92_27,10,16195,0.7804878048780488,0.025439950602037666,0.8121642482247607,0.026551404754553875
LA92_29,10,16702,0.7873308585798108,0.032630822655969345,0.8236139384504849,0.03077475751407017
LA92_22,10,13579,0.8102953089329111,0.02533323514249945,0.8343029678179542,0.02054643199057368
LA92_14,10,11483,0.8263519986066359,0.02403553078463816,0.8476878864408256,0.01793956283201254
LA92_20,10,15808,0.8383097165991903,0.03340080971659919,0.8591852226720648,0.017522773279352227
LA92_25,10,17677,0.8371329976806019,0.025569949652090286,0.8603269785597104,0.019177462239067716
LA92_21,10,15293,0.8410383835741843,0.030798404498790295,0.8643823971751782,0.01961681815209573
LA92_04,10,21600,0.8334259259259259,0.039768518518518516,0.8683796296296297,0.027731481481481482
LA92_23,10,25725,0.8412439261418854,0.04633624878522838,0.8808551992225462,0.03191448007774538
LA92_06,10,15325,0.8625122349102773,0.02270799347471452,0.8811092985318107,0.015073409461663948
LA92_12,10,26546,0.8729375423792661,0.04607097114442854,0.8973856701574625,0.019287274919008515
LA92_07,10,24166,0.8757345030207729,0.04539435570636431,0.8992385996855086,0.018745344699164116
LA92_17,10,26673,0.881865556930229,0.04581411914670266,0.9049975630787688,0.017845761631612493
LA92_24,10,31571,0.885147762186817,0.06341262551075354,0.9103290994900384,0.019163156060942002
LA92_08,10,38470,0.924070704445022,0.07527943852352482,0.9399532102937354,0.011593449441122953
LA92_10,10,33358,0.9254151927573595,0.052880868157563404,0.9404041009652857,0.011061814257449487
LA92_26,10,46649,0.9365045338592467,0.0784797101759952,0.9502240133764925,0.009174901927158138
LA92_16,10,57431,0.9379255106127353,0.10609252842541485,0.9574619978757117,0.013981995786247845
LA92_05,10,84837,0.9587915650011198,0.13657955844737554,0.9727595270931315,0.007944646793262374
